iso3,country,year,excess_deaths,iso_code,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,population,excess_deaths_per_million
ETH,Ethiopia,2021.0,46408.81891847966,ETH,0.0,0.0,133.0,123624060.15037593,375.4028047778734
FIN,Finland,2021.0,2868.022089337489,FIN,73.73,20.44,4748.0,5540438.079191239,517.6525842079525
FJI,Fiji,2021.0,1645.1057669466736,FJI,65.13,0.0,413.0,929782.0823244553,1769.3455253879588
FRA,France,2021.0,37445.35764931906,FRA,73.21,33.1,5630.0,67810124.3339254,552.2089513495429
GAB,Gabon,2021.0,860.2761046970829,GAB,7.25,0.0,1309.0,2389610.3896103897,360.0068481612792
GBR,The United Kingdom,2021.0,65350.30783986315,GBR,70.26,50.5,4072.0,67514243.61493123,967.9484556264879
GEO,Georgia,2021.0,17255.764606760724,GEO,30.68,0.0,2788.0,3744978.479196557,4607.707281261268
GHA,Ghana,2021.0,9963.19022186633,GHA,6.97,0.0,1777.0,33469893.078221723,297.67618912261196
GIN,Guinea,2021.0,4089.7783346234723,GIN,6.68,0.0,2541.0,13857142.857142858,295.13864270478666
GMB,Gambia,2021.0,1205.872060420696,GMB,9.22,0.0,642.0,2705607.476635514,445.69364582043
GNB,Guinea-Bissau,2021.0,1198.3276188348214,GNB,1.1,0.0,99.0,2101010.1010101014,570.3578570415735
GNQ,Equatorial Guinea,2021.0,461.23659625119205,GNQ,12.14,0.0,29.0,1689655.1724137932,272.97676104662384
GRC,Greece,2021.0,19485.75221501623,GRC,67.8,33.99,6327.0,10384384.384384384,1876.4475094275317
GRD,Grenada,2021.0,44.933930985870944,GRD,28.26,0.0,1395.0,125448.02867383511,358.18762128737126
GTM,Guatemala,2021.0,36476.57204560619,GTM,26.27,0.5,1393.0,17841349.6051687,2044.4962322266695
GUY,Guyana,2021.0,3011.8590496304582,GUY,36.37,1.37,1039.0,808469.6823869105,3725.382800673864
HND,Honduras,2021.0,13894.696942152286,HND,41.18,3.62,4773.0,10432222.920595013,1331.9018437309035
HRV,Croatia,2021.0,12268.288156227814,HRV,48.47,0.0,2939.0,4030962.9125552904,3043.513032088592
HTI,Haiti,2021.0,10607.90391784154,HTI,0.64,0.0,37.0,11513513.513513515,921.3437675120587
HUN,Hungary,2021.0,26972.143693159836,HUN,60.01,31.87,1038.0,9968208.092485549,2705.816676669557
